,text,project_name
58695,ernietinyfinetuned,PaddleHub.txt
68313,facedetector,PaddleHub.txt
68346,maskclassifier,PaddleHub.txt
69034,transformersequencelabellayer,PaddleHub.txt
69284,thefamiliar,PySolFC.txt
69336,twofamiliars,PySolFC.txt
69388,tenbyeight,PySolFC.txt
69437,drawbridge,PySolFC.txt
69484,doubledrawbridge,PySolFC.txt
69532,hiddenpassages,PySolFC.txt
69594,cluitjarslair,PySolFC.txt
69646,merlinsmeander,PySolFC.txt
69779,magesgame,PySolFC.txt
69824,convolution,PySolFC.txt
69900,labyrinth,PySolFC.txt
69909,snakestone,PySolFC.txt
70006,paulownia,PySolFC.txt
70047,pine,PySolFC.txt
70050,eularia,PySolFC.txt
70052,peony,PySolFC.txt
70054,iris,PySolFC.txt
70059,lesserqueue,PySolFC.txt
70192,greaterqueue,PySolFC.txt
70199,japanesegarden,PySolFC.txt
70274,japanesegardenii,PySolFC.txt
70276,japanesegardeniii,PySolFC.txt
70283,sixsages,PySolFC.txt
70293,sixtengus,PySolFC.txt
70302,hanafudafourseasons,PySolFC.txt
70348,wisteria,PySolFC.txt
70481,flowerarrangement,PySolFC.txt
70852,abstractmahjongggame,PySolFC.txt
74609,abstractshisengame,PySolFC.txt
76446,solverdialog,PySolFC.txt
76617,pysolstatusbar,PySolFC.txt
76633,helpstatusbar,PySolFC.txt
76638,htmlstatusbar,PySolFC.txt
76648,teststatusbar,PySolFC.txt
76688,playeroptionsdialog,PySolFC.txt
76807,toolbarcheckbutton,PySolFC.txt
76813,toolbarbutton,PySolFC.txt
76819,toolbarseparator,PySolFC.txt
76849,toolbarlabel,PySolFC.txt
77198,selectdialogtreeleaf,PySolFC.txt
77201,selectdialogtreenode,PySolFC.txt
77207,selectdialogtreecanvas,PySolFC.txt
77237,timeoutsdialog,PySolFC.txt
77329,soundoptionsdialog,PySolFC.txt
77491,colorsdialog,PySolFC.txt
77530,statsdialog,PySolFC.txt
77613,singlegameframe,PySolFC.txt
77753,treeformatter,PySolFC.txt
77844,allgamesframe,PySolFC.txt
77924,logdialog,PySolFC.txt
77980,fulllogframe,PySolFC.txt
77998,sessionlogframe,PySolFC.txt
78121,topframe,PySolFC.txt
78215,progressionframe,PySolFC.txt
78482,htmlviewer,PySolFC.txt
78602,pysolmenubartk,PySolFC.txt
78804,mfxtreeleaf,PySolFC.txt
78809,mfxtreenode,PySolFC.txt
78858,mfxtreeincanvas,PySolFC.txt
78981,directorybrowser,PySolFC.txt
79067,fontchooserdialog,PySolFC.txt
79167,fontsdialog,PySolFC.txt
79254,selecttileleaf,PySolFC.txt
79256,selecttilenode,PySolFC.txt
79268,selecttiledata,PySolFC.txt
79295,selecttiletree,PySolFC.txt
79300,selecttiledialogwithpreview,PySolFC.txt
79553,for,PySolFC.txt
79555,mfxdialog,PySolFC.txt
79750,mfxmessagedialog,PySolFC.txt
79767,mfxexceptiondialog,PySolFC.txt
79786,pysolaboutdialog,PySolFC.txt
79817,mfxsimpleentry,PySolFC.txt
80232,tkinterscale,PySolFC.txt
80242,pysolcombo,PySolFC.txt
80258,basetilemfxdialog,PySolFC.txt
80294,wizarddialog,PySolFC.txt
80418,gameinfodialog,PySolFC.txt
80450,edittextdialog,PySolFC.txt
80513,selectcardsetleaf,PySolFC.txt
80515,selectcardsetnode,PySolFC.txt
80527,selectcardsetdata,PySolFC.txt
80625,selectcardsetbytypedata,PySolFC.txt
80649,selectcardsettree,PySolFC.txt
80651,selectcardsetbytypetree,PySolFC.txt
80656,selectcardsetdialogwithpreview,PySolFC.txt
80861,selectcardsetbytypedialogwithpreview,PySolFC.txt
80868,cardsetinfodialog,PySolFC.txt
81034,selectgameleaf,PySolFC.txt
81036,selectgamenode,PySolFC.txt
81061,selectgamedata,PySolFC.txt
81241,selectgametreewithpreview,PySolFC.txt
81243,selectgametree,PySolFC.txt
81249,selectgamedialog,PySolFC.txt
81304,selectgamedialogwithpreview,PySolFC.txt
81753,tksettings,PySolFC.txt
82200,mybutton,PySolFC.txt
82218,mycheckbutton,PySolFC.txt
82276,pysoltoolbartk,PySolFC.txt
82484,selectdialogtreedata,PySolFC.txt
82615,lpiechart,PySolFC.txt
82815,progressiondialog,PySolFC.txt
82872,into,PySolFC.txt
82888,tkhtmlwriter,PySolFC.txt
83029,tkhtmlparser,PySolFC.txt
83055,htmlbutton,PySolFC.txt
83060,htmllabel,PySolFC.txt
83071,htmltext,PySolFC.txt
83493,lbase,PySolFC.txt
83497,lpopcommander,PySolFC.txt
83507,lanimationmgr,PySolFC.txt
83570,lboxlayout,PySolFC.txt
83578,limage,PySolFC.txt
83677,ltext,PySolFC.txt
83700,mylabel,PySolFC.txt
83728,levent,PySolFC.txt
83736,lline,PySolFC.txt
83889,lrectangle,PySolFC.txt
83983,limageitem,PySolFC.txt
84119,ltreeroot,PySolFC.txt
84135,ltreenode,PySolFC.txt
84263,ltoplevelcontent,PySolFC.txt
84278,ltopline,PySolFC.txt
84327,ltoplevel,PySolFC.txt
84360,lmenubar,PySolFC.txt
84380,lmenu,PySolFC.txt
84383,myactionprev,PySolFC.txt
84431,lmenuitem,PySolFC.txt
84466,lscrollview,PySolFC.txt
84490,lworkwindow,PySolFC.txt
84651,lmainwindow,PySolFC.txt
84818,lapp,PySolFC.txt
85012,tkvarobj,PySolFC.txt
85022,booleanvar,PySolFC.txt
85024,intvar,PySolFC.txt
85026,stringvar,PySolFC.txt
85031,lmenudialog,PySolFC.txt
85081,mainmenudialog,PySolFC.txt
85126,filemenudialog,PySolFC.txt
85172,editmenudialog,PySolFC.txt
85244,gamemenudialog,PySolFC.txt
85306,assistmenudialog,PySolFC.txt
85336,optionsmenudialog,PySolFC.txt
85865,helpmenudialog,PySolFC.txt
85906,emultkmenu,PySolFC.txt
85942,mfxmenubar,PySolFC.txt
87684,androidperms,PySolFC.txt
87751,pysolprogressbar,PySolFC.txt
87871,flabel,PySolFC.txt
87882,ftext,PySolFC.txt
88063,lscrollframe,PySolFC.txt
88066,mfxscrolledcanvas,PySolFC.txt
89059,mfxcanvasgroup,PySolFC.txt
89080,mfxcanvasimage,PySolFC.txt
89209,mfxcanvasline,PySolFC.txt
89225,mfxcanvasrectangle,PySolFC.txt
89258,mfxcanvastext,PySolFC.txt
89304,mfxcanvas,PySolFC.txt
89931,lgameroot,PySolFC.txt
89937,lgamenode,PySolFC.txt
91063,mfxmenu,PySolFC.txt
92570,findcarddialog,PySolFC.txt
93030,arc,PySolFC.txt
93033,bitmap,PySolFC.txt
93036,imageitem,PySolFC.txt
93039,line,PySolFC.txt
93042,oval,PySolFC.txt
93045,polygon,PySolFC.txt
93048,rectangle,PySolFC.txt
93052,canvastext,PySolFC.txt
93055,window,PySolFC.txt
93349,mfxroot,PySolFC.txt
94264,mytests,PySolFC.txt
96205,appnp,pytorch_geometric.txt
96250,gmmconv,pytorch_geometric.txt
96403,asapooling,pytorch_geometric.txt
96541,topkpooling,pytorch_geometric.txt
96738,edgepooling,pytorch_geometric.txt
96889,sagpooling,pytorch_geometric.txt
97218,batchnorm,pytorch_geometric.txt
97259,instancenorm,pytorch_geometric.txt
97317,graphsizenorm,pytorch_geometric.txt
97345,globalattention,pytorch_geometric.txt
97537,densesageconv,pytorch_geometric.txt
97585,denseginconv,pytorch_geometric.txt
97634,densegraphconv,pytorch_geometric.txt
97697,densegcnconv,pytorch_geometric.txt
98040,schnet,pytorch_geometric.txt
98226,interactionblock,pytorch_geometric.txt
98252,cfconv,pytorch_geometric.txt
98273,gaussiansmearing,pytorch_geometric.txt
98282,shiftedsoftplus,pytorch_geometric.txt
98297,gnnexplainer,pytorch_geometric.txt
98488,innerproductdecoder,pytorch_geometric.txt
98517,gae,pytorch_geometric.txt
98580,vgae,pytorch_geometric.txt
98621,arga,pytorch_geometric.txt
98659,argva,pytorch_geometric.txt
98811,renet,pytorch_geometric.txt
98872,pretransform,pytorch_geometric.txt
98976,graphunet,pytorch_geometric.txt
99075,jumpingknowledge,pytorch_geometric.txt
99332,signedgcn,pytorch_geometric.txt
99515,deepgraphinfomax,pytorch_geometric.txt
99589,envelope,pytorch_geometric.txt
99601,besselbasislayer,pytorch_geometric.txt
99613,sphericalbasislayer,pytorch_geometric.txt
99646,embeddingblock,pytorch_geometric.txt
99662,residuallayer,pytorch_geometric.txt
99726,outputblock,pytorch_geometric.txt
99749,dimenet,pytorch_geometric.txt
99957,net,pytorch_geometric.txt
100084,samodule,pytorch_geometric.txt
100098,globalsamodule,pytorch_geometric.txt
100184,sage,pytorch_geometric.txt
100511,mytransform,pytorch_geometric.txt
100516,complete,pytorch_geometric.txt
100852,encoder,pytorch_geometric.txt
100861,discriminator,pytorch_geometric.txt
101178,handlenodeattention,pytorch_geometric.txt
101558,breadth,pytorch_geometric.txt
101565,depth,pytorch_geometric.txt
101572,geniepathlayer,pytorch_geometric.txt
101583,geniepath,pytorch_geometric.txt
101598,geniepathlazy,pytorch_geometric.txt
102037,fpmodule,pytorch_geometric.txt
102307,classification,pytorch_geometric.txt
102877,myfilter,pytorch_geometric.txt
102892,gnn,pytorch_geometric.txt
103055,gat,pytorch_geometric.txt
